entity_id,name,link,scraped_at,job_levels,job_levels_raw,languages,languages_raw,duration,duration_raw,status,remote,adaptive,description,keys
4302,Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,2026-05-08T10:40:21.464836+00:00,"['Director', 'Entry-Level', 'Executive', 'General Population', 'Graduate', 'Manager', 'Mid-Professional', 'Front Line Manager', 'Supervisor']","Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor,",[],,,,ok,yes,no,"This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.","['Ability & Aptitude', 'Assessment Exercises', 'Biodata & Situational Judgment', 'Competencies', 'Development & 360', 'Personality & Behavior']"
3827,.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,2026-05-08T10:39:46.810448+00:00,"['Professional Individual Contributor', 'Mid-Professional']","Professional Individual Contributor, Mid-Professional,",['English (USA)'],"English (USA),",30 minutes,Approximate Completion Time in minutes = 30,ok,yes,yes,"The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.",['Knowledge & Skills']
4094,.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,2026-05-08T10:39:53.276083+00:00,"['Mid-Professional', 'Professional Individual Contributor']","Mid-Professional, Professional Individual Contributor,",['English (USA)'],"English (USA),",17 minutes,Approximate Completion Time in minutes = 17,ok,yes,no,"Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.",['Knowledge & Skills']
4099,.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,2026-05-08T10:41:53.047159+00:00,"['Mid-Professional', 'Professional Individual Contributor']","Mid-Professional, Professional Individual Contributor,",['English (USA)'],"English (USA),",5 minutes,Approximate Completion Time in minutes = 5,ok,yes,no,"Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.",['Knowledge & Skills']
4018,.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,2026-05-08T10:41:58.935422+00:00,"['Mid-Professional', 'Professional Individual Contributor']","Mid-Professional, Professional Individual Contributor,",['English (USA)'],"English (USA),",11 minutes,Approximate Completion Time in minutes = 11,ok,yes,no,"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.",['Knowledge & Skills']
4016,.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,2026-05-08T10:42:04.800928+00:00,"['Mid-Professional', 'Professional Individual Contributor']","Mid-Professional, Professional Individual Contributor,",['English (USA)'],"English (USA),",9 minutes,Approximate Completion Time in minutes = 9,ok,yes,no,"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.",['Knowledge & Skills']
4165,.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,2026-05-08T10:42:15.406285+00:00,"['Mid-Professional', 'Professional Individual Contributor']","Mid-Professional, Professional Individual Contributor,",['English (USA)'],"English (USA),",5 minutes,Approximate Completion Time in minutes = 5,ok,yes,no,"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.",['Knowledge & Skills']
4178,Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,2026-05-08T10:42:34.043781+00:00,"['Entry-Level', 'Graduate', 'Mid-Professional', 'Professional Individual Contributor']","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",['English (USA)'],"English (USA),",9 minutes,Approximate Completion Time in minutes = 9,ok,yes,no,"Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.",['Knowledge & Skills']
4187,Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,2026-05-08T10:42:40.400062+00:00,"['Entry-Level', 'Graduate', 'Mid-Professional', 'Professional Individual Contributor']","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",['English (USA)'],"English (USA),",8 minutes,Approximate Completion Time in minutes = 8,ok,yes,no,Simulated data entry test that measures the ability to process payables and vendor invoices.,['Simulations']
4179,Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,2026-05-08T10:42:48.008104+00:00,"['Entry-Level', 'Graduate', 'Mid-Professional', 'Professional Individual Contributor']","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",['English (USA)'],"English (USA),",13 minutes,Approximate Completion Time in minutes = 13,ok,yes,no,Multiple-choice test that measures the knowledge of processing receivables and invoices.,['Knowledge & Skills']
